prompt,expected_service,predicted_service,rank_1,rank_2,rank_3,similarity_scores,is_correct,model_name,method,dataset
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.?    A. 8    B. 2    C. 24    D. 120",abstract_algebra,astronomy,astronomy,abstract_algebra,anatomy,0.478843|0.477035|0.449155,False,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5?    A. 0    B. 1    C. 0,1    D. 0,4",abstract_algebra,abstract_algebra,abstract_algebra,astronomy,anatomy,0.524053|0.508735|0.466034,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra,abstract_algebra,abstract_algebra,astronomy,anatomy,0.517143|0.484531|0.483715,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].?    A. 2x^2 + 5    B. 6x^2 + 4x + 6    C. 0    D. x^2 + 1",abstract_algebra,abstract_algebra,abstract_algebra,astronomy,anatomy,0.505186|0.472594|0.446993,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra,abstract_algebra,abstract_algebra,anatomy,astronomy,0.471942|0.456118|0.455327,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra,astronomy,astronomy,abstract_algebra,anatomy,0.504374|0.499390|0.480362,False,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Statement 1 | A ring homomorphism is one to one if and only if the kernel is {0}. Statement 2 | Q is an ideal in R.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra,astronomy,astronomy,abstract_algebra,anatomy,0.517109|0.512387|0.496794,False,colbert-ir/colbertv2.0,colbert,dataset_5_services
Find the degree for the given field extension Q(sqrt(2) + sqrt(3)) over Q.?    A. 0    B. 4    C. 2    D. 6,abstract_algebra,astronomy,astronomy,abstract_algebra,anatomy,0.534705|0.529421|0.482233,False,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^3 + 2x + 2 in Z_7?    A. 1    B. 2    C. 2,3    D. 6",abstract_algebra,abstract_algebra,abstract_algebra,astronomy,anatomy,0.530337|0.512291|0.466761,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Statement 1 | If H is a subgroup of G and a belongs to G then |aH| = |Ha|. Statement 2 | If H is a subgroup of G and a and b belong to G, then aH and Hb are identical or disjoint.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra,astronomy,astronomy,abstract_algebra,anatomy,0.486893|0.484027|0.481068,False,colbert-ir/colbertv2.0,colbert,dataset_5_services
"If A = {1, 2, 3} then relation S = {(1, 1), (2, 2)} is?    A. symmetric only    B. anti-symmetric only    C. both symmetric and anti-symmetric    D. an equivalence relation",abstract_algebra,abstract_algebra,abstract_algebra,astronomy,anatomy,0.512270|0.501411|0.460616,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)?    A. 1    B. 2    C. 5    D. 11",abstract_algebra,astronomy,astronomy,abstract_algebra,anatomy,0.498330|0.482111|0.469632,False,colbert-ir/colbertv2.0,colbert,dataset_5_services
The polynomial x^3 + 2x^2 + 2x + 1 can be factored into linear factors in Z_7[x]. Find this factorization.?    A. (x ? 2)(x + 2)(x ? 1)    B. (x + 1)(x + 4)(x ? 2)    C. (x + 1)(x ? 4)(x ? 2)    D. (x - 1)(x ? 4)(x ? 2),abstract_algebra,abstract_algebra,abstract_algebra,astronomy,business_ethics,0.532358|0.479251|0.429771,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
Find the maximum possible order for an element of S_n for n = 10.?    A. 6    B. 12    C. 30    D. 105,abstract_algebra,astronomy,astronomy,abstract_algebra,anatomy,0.473127|0.466865|0.445891,False,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Statement 1 | R is a splitting field of some polynomial over Q. Statement 2 | There is a field with 60 elements.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra,abstract_algebra,abstract_algebra,anatomy,astronomy,0.531056|0.504299|0.504167,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"The inverse of -i in the multiplicative group, {1, -1, i , -i} is?    A. 1    B. -1    C. i    D. #NAME?",abstract_algebra,astronomy,astronomy,abstract_algebra,business_ethics,0.495872|0.495357|0.449455,False,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Compute the product in the given ring. (2,3)(3,5) in Z_5 x Z_9?    A. (1,1)    B. (3,1)    C. (1,6)    D. (3,6)",abstract_algebra,abstract_algebra,abstract_algebra,astronomy,anatomy,0.541867|0.531111|0.491228,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
The set of all real numbers under the usual multiplication operation is not a group since?    A. multiplication is not a binary operation    B. multiplication is not associative    C. identity element does not exist    D. zero has no inverse,abstract_algebra,abstract_algebra,abstract_algebra,astronomy,anatomy,0.517598|0.486935|0.453381,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Statement 1| Every group of order p^2 where p is prime is Abelian. Statement 2 | For a fixed prime p a Sylow p-subgroup of a group G is a normal subgroup of G if and only if it is the only Sylow p-subgroup of G.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra,abstract_algebra,abstract_algebra,astronomy,business_ethics,0.495174|0.481029|0.454073,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Statement 1 | For finite groups G and H, |G + H| = |G||H|. (G + H is the internal direct product.) Statement 2 | If r divides m and s divides n then Z_m + Z_n has a subgroup isomorphic to Z_r + Z_s.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra,abstract_algebra,abstract_algebra,astronomy,anatomy,0.498916|0.497484|0.464672,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Find the sum of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].?    A. 2x^2 + 5    B. 6x^2 + 4x + 6    C. 0    D. x^2 + 1",abstract_algebra,abstract_algebra,abstract_algebra,astronomy,anatomy,0.502252|0.465331|0.433100,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Statement 1 | Any set of two vectors in R^2 is linearly independent. Statement 2 | If V = span(v1, ... , vk) and {v1, ... , vk} are linearly independent, then dim(V) = k.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra,astronomy,astronomy,abstract_algebra,clinical_knowledge,0.527891|0.516678|0.475142,False,colbert-ir/colbertv2.0,colbert,dataset_5_services
The set of all nth roots of unity under multiplication of complex numbers form a/an?    A. semi group with identity    B. commutative semigroups with identity    C. group    D. abelian group,abstract_algebra,abstract_algebra,abstract_algebra,astronomy,anatomy,0.535355|0.504975|0.474653,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Statement 1 | Every maximal ideal is a prime ideal. Statement 2 | If I is a maximal ideal of a commutative ring R, then R/I is field.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra,astronomy,astronomy,abstract_algebra,business_ethics,0.503366|0.502581|0.477845,False,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an?    A. subgroup    B. finite abelian group    C. infinite, non abelian group    D. ininite, abelian",abstract_algebra,abstract_algebra,abstract_algebra,astronomy,business_ethics,0.538982|0.499706|0.461173,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Statement 1 | Every group of order 42 has a normal subgroup of order 7. Statement 2 | Every group of order 42 has a normal subgroup of order 8.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra,abstract_algebra,abstract_algebra,astronomy,anatomy,0.478692|0.471193|0.469982,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Determine whether the polynomial in Z[x] satisfies an Eisenstein criterion for irreducibility over Q. 8x^3 + 6x^2 - 9x + 24?    A. Yes, with p=2.    B. Yes, with p=3.    C. Yes, with p=5.    D. No.",abstract_algebra,abstract_algebra,abstract_algebra,astronomy,anatomy,0.507616|0.483514|0.448579,True,colbert-ir/colbertv2.0,colbert,dataset_5_services
"Statement 1 | The image of a group of 6 elements under a homomorphism may have 12 elements. Statement 2 | There is a homomorphism of some group of 6 elements into some group of 12 elements.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra,astronomy,astronomy,anatomy,abstract_algebra,0.485886|0.485470|0.475674,False,colbert-ir/colbertv2.0,colbert,dataset_5_services
